Estimating norm scaling factor: 100%|██████████| 1000/1000 [01:06<00:00, 15.15it/s]
4600| l1_loss: 0.00000 | mse_loss: 46.68287:  57%|█████▊    | 2355200/4096000 [17:18<10:42, 2709.46it/s]
                                                               
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.0011771559206856135, 'ce_loss_with_ablation': 8.3441743850708, 'ce_loss_with_sae': 8.3511381149292, 'ce_loss_without_sae': 2.428450107574463}, 'reconstruction_quality': {'explained_variance': -0.001027194783091545, 'mse': 29.768178939819336, 'cossim': 0.32203105092048645}, 'shrinkage': {'l2_norm_in': 51.4463005065918, 'l2_norm_out': 0.0023535822983831167, 'l2_ratio': 5.969674020889215e-05, 'relative_reconstruction_bias': 0.008917339146137238}, 'sparsity': {'l0': 17.122461318969727, 'l1': 0.37575563788414}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.1374249179830896, 'ce_loss_with_ablation': 7.869075775146484, 'ce_loss_with_sae': 8.630387306213379, 'ce_loss_without_sae': 2.3292396068573}, 'reconstruction_quality': {'explained_variance': -0.05810178443789482, 'mse': 23.838077545166016, 'cossim': 0.30168282985687256}, 'shrinkage': {'l2_norm_in': 47.46825408935547, 'l2_norm_out': 0.05857587978243828, 'l2_ratio': 0.0016709397314116359, 'relative_reconstruction_bias': 0.005225170869380236}, 'sparsity': {'l0': 0.0, 'l1': 0.0}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.08271238874719002, 'ce_loss_with_ablation': 8.308028221130371, 'ce_loss_with_sae': 8.825228691101074, 'ce_loss_without_sae': 2.0550293922424316}, 'reconstruction_quality': {'explained_variance': -0.008707157336175442, 'mse': 29.457483291625977, 'cossim': 0.29669904708862305}, 'shrinkage': {'l2_norm_in': 51.11163330078125, 'l2_norm_out': 0.05904755741357803, 'l2_ratio': 0.0016282579163089395, 'relative_reconstruction_bias': 0.005184886045753956}, 'sparsity': {'l0': 0.0, 'l1': 0.0}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.07792941503107612, 'ce_loss_with_ablation': 8.332615852355957, 'ce_loss_with_sae': 8.816582679748535, 'ce_loss_without_sae': 2.122292995452881}, 'reconstruction_quality': {'explained_variance': -0.0030417449306696653, 'mse': 28.935958862304688, 'cossim': 0.296220988035202}, 'shrinkage': {'l2_norm_in': 51.193599700927734, 'l2_norm_out': 0.059476207941770554, 'l2_ratio': 0.0016459474572911859, 'relative_reconstruction_bias': 0.005228914320468903}, 'sparsity': {'l0': 0.0003906250058207661, 'l1': 1.1842639651149511e-06}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.09469123451210533, 'ce_loss_with_ablation': 8.138676643371582, 'ce_loss_with_sae': 8.67737102508545, 'ce_loss_without_sae': 2.4497194290161133}, 'reconstruction_quality': {'explained_variance': 0.006076168268918991, 'mse': 30.683401107788086, 'cossim': 0.30039501190185547}, 'shrinkage': {'l2_norm_in': 51.78801345825195, 'l2_norm_out': 0.0598817877471447, 'l2_ratio': 0.0016558602219447494, 'relative_reconstruction_bias': 0.0052026729099452496}, 'sparsity': {'l0': 0.1396484375, 'l1': 0.0023173389490693808}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.1350206808024081, 'ce_loss_with_ablation': 7.857382774353027, 'ce_loss_with_sae': 8.606614112854004, 'ce_loss_without_sae': 2.308371067047119}, 'reconstruction_quality': {'explained_variance': -0.058284271508455276, 'mse': 23.844385147094727, 'cossim': 0.30265021324157715}, 'shrinkage': {'l2_norm_in': 47.75364303588867, 'l2_norm_out': 0.06024663522839546, 'l2_ratio': 0.0017067687585949898, 'relative_reconstruction_bias': 0.005319506861269474}, 'sparsity': {'l0': 0.00019531250291038305, 'l1': 8.97532625998565e-09}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.14531758212287083, 'ce_loss_with_ablation': 7.850327491760254, 'ce_loss_with_sae': 8.656197547912598, 'ce_loss_without_sae': 2.304749011993408}, 'reconstruction_quality': {'explained_variance': -0.04535863921046257, 'mse': 24.77960968017578, 'cossim': 0.2984583377838135}, 'shrinkage': {'l2_norm_in': 47.86105728149414, 'l2_norm_out': 0.060581810772418976, 'l2_ratio': 0.0017283974448218942, 'relative_reconstruction_bias': 0.00546101713553071}, 'sparsity': {'l0': 0.0, 'l1': 0.0}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.07634728053217406, 'ce_loss_with_ablation': 8.232010841369629, 'ce_loss_with_sae': 8.675990104675293, 'ce_loss_without_sae': 2.4167511463165283}, 'reconstruction_quality': {'explained_variance': -0.008693898096680641, 'mse': 29.25446891784668, 'cossim': 0.29542437195777893}, 'shrinkage': {'l2_norm_in': 51.164424896240234, 'l2_norm_out': 0.06088968738913536, 'l2_ratio': 0.0016746033215895295, 'relative_reconstruction_bias': 0.005362856201827526}, 'sparsity': {'l0': 0.0013671874767169356, 'l1': 2.6107029043487273e-05}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.1291744349922814, 'ce_loss_with_ablation': 7.869482040405273, 'ce_loss_with_sae': 8.587272644042969, 'ce_loss_without_sae': 2.312727689743042}, 'reconstruction_quality': {'explained_variance': -0.018590420484542847, 'mse': 27.81656837463379, 'cossim': 0.29784002900123596}, 'shrinkage': {'l2_norm_in': 50.466800689697266, 'l2_norm_out': 0.06116456910967827, 'l2_ratio': 0.0016949389828369021, 'relative_reconstruction_bias': 0.00536714494228363}, 'sparsity': {'l0': 0.0011718750465661287, 'l1': 1.143128247349523e-05}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.14188958576331145, 'ce_loss_with_ablation': 7.792513370513916, 'ce_loss_with_sae': 8.570874214172363, 'ce_loss_without_sae': 2.306833505630493}, 'reconstruction_quality': {'explained_variance': -0.04592430219054222, 'mse': 24.88237762451172, 'cossim': 0.30252543091773987}, 'shrinkage': {'l2_norm_in': 48.217613220214844, 'l2_norm_out': 0.06142460182309151, 'l2_ratio': 0.0017459094524383545, 'relative_reconstruction_bias': 0.00543661555275321}, 'sparsity': {'l0': 0.00019531250291038305, 'l1': 2.125363636196198e-07}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.10795551032315613, 'ce_loss_with_ablation': 8.068778038024902, 'ce_loss_with_sae': 8.705510139465332, 'ce_loss_without_sae': 2.1706807613372803}, 'reconstruction_quality': {'explained_variance': -0.010816800408065319, 'mse': 28.853591918945312, 'cossim': 0.2930227220058441}, 'shrinkage': {'l2_norm_in': 51.2869873046875, 'l2_norm_out': 0.06166126951575279, 'l2_ratio': 0.0016817564610391855, 'relative_reconstruction_bias': 0.005431905388832092}, 'sparsity': {'l0': 0.0015625000232830644, 'l1': 1.1698017260641791e-05}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.08835564513000987, 'ce_loss_with_ablation': 8.322396278381348, 'ce_loss_with_sae': 8.870384216308594, 'ce_loss_without_sae': 2.120325803756714}, 'reconstruction_quality': {'explained_variance': -0.00761253759264946, 'mse': 28.907611846923828, 'cossim': 0.2942783236503601}, 'shrinkage': {'l2_norm_in': 51.44325637817383, 'l2_norm_out': 0.06188252568244934, 'l2_ratio': 0.0016927423421293497, 'relative_reconstruction_bias': 0.005423981696367264}, 'sparsity': {'l0': 0.0, 'l1': 0.0}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.09045859579088227, 'ce_loss_with_ablation': 8.357733726501465, 'ce_loss_with_sae': 8.886950492858887, 'ce_loss_without_sae': 2.5073580741882324}, 'reconstruction_quality': {'explained_variance': -0.0073531814850866795, 'mse': 29.31573486328125, 'cossim': 0.29836881160736084}, 'shrinkage': {'l2_norm_in': 51.22210693359375, 'l2_norm_out': 0.062094222754240036, 'l2_ratio': 0.0017128363251686096, 'relative_reconstruction_bias': 0.005424193572252989}, 'sparsity': {'l0': 0.001953125, 'l1': 1.006983711704379e-05}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.10132151463071166, 'ce_loss_with_ablation': 8.160111427307129, 'ce_loss_with_sae': 8.748400688171387, 'ce_loss_without_sae': 2.3539481163024902}, 'reconstruction_quality': {'explained_variance': -0.00485265115275979, 'mse': 28.773880004882812, 'cossim': 0.297301322221756}, 'shrinkage': {'l2_norm_in': 51.02265548706055, 'l2_norm_out': 0.06229497864842415, 'l2_ratio': 0.0017314072465524077, 'relative_reconstruction_bias': 0.005469688680022955}, 'sparsity': {'l0': 0.0, 'l1': 0.0}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.11433966224396958, 'ce_loss_with_ablation': 7.85791015625, 'ce_loss_with_sae': 8.492758750915527, 'ce_loss_without_sae': 2.305605888366699}, 'reconstruction_quality': {'explained_variance': -0.05223908647894859, 'mse': 24.5189266204834, 'cossim': 0.3051885664463043}, 'shrinkage': {'l2_norm_in': 47.74542236328125, 'l2_norm_out': 0.0624912865459919, 'l2_ratio': 0.0017907327273860574, 'relative_reconstruction_bias': 0.0055228653363883495}, 'sparsity': {'l0': 0.0, 'l1': 0.0}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.1299973533895157, 'ce_loss_with_ablation': 7.808835983276367, 'ce_loss_with_sae': 8.519209861755371, 'ce_loss_without_sae': 2.3443102836608887}, 'reconstruction_quality': {'explained_variance': -0.05747837945818901, 'mse': 23.790409088134766, 'cossim': 0.30323344469070435}, 'shrinkage': {'l2_norm_in': 47.34403610229492, 'l2_norm_out': 0.06268946081399918, 'l2_ratio': 0.00179358571767807, 'relative_reconstruction_bias': 0.005581489764153957}, 'sparsity': {'l0': 0.0015625000232830644, 'l1': 8.894482562027406e-06}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.09914292944469925, 'ce_loss_with_ablation': 8.44247817993164, 'ce_loss_with_sae': 9.040289878845215, 'ce_loss_without_sae': 2.4126815795898438}, 'reconstruction_quality': {'explained_variance': -0.014768758788704872, 'mse': 28.060331344604492, 'cossim': 0.29171568155288696}, 'shrinkage': {'l2_norm_in': 51.09611129760742, 'l2_norm_out': 0.06281270831823349, 'l2_ratio': 0.0017103090649470687, 'relative_reconstruction_bias': 0.005551367998123169}, 'sparsity': {'l0': 0.0005859375232830644, 'l1': 1.919585429277504e-06}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
